# 601 snapshots
# linear spacing in scale-factor
# times assume cosmology from agora:
# Omega_m = 0.272, Omega_l = 0.728, Omega_b = 0.0455, 
# h = 0.702, sigma_8 = 0.807, n_s = 0.961
# i scale-factor redshift time[Gyr] lookback-time[Gyr] time-width[Myr]
294 0.527070105  0.897280812  6.431944068  7.366802816  26.1671
295 0.528662384  0.891566396  6.458115385  7.340631498  26.1713
296 0.530254781  0.885885835  6.484294569  7.314452314  26.1792
297 0.531847119  0.880239606  6.510478447  7.288268436  26.1839
298 0.533439517  0.874626756  6.536668747  7.262078136  26.1903
299 0.535031796  0.869047761  6.562862297  7.235884586  26.1936
300 0.536624193  0.863501549  6.589062790  7.209684094  26.2005
301 0.538216591  0.857988119  6.615268035  7.183478848  26.2052
302 0.539808929  0.852507353  6.641476825  7.157270058  26.2088
303 0.541401327  0.847058654  6.667690895  7.131055989  26.2141
304 0.542993605  0.841642261  6.693907075  7.104839808  26.2162
305 0.544586003  0.836257219  6.720129067  7.078617817  26.2220
306 0.546178281  0.830904007  6.746352721  7.052394163  26.2237
307 0.547770679  0.825581431  6.772581742  7.026165142  26.2290
308 0.549363077  0.820289850  6.798813945  6.999932938  26.2322
309 0.550955415  0.815028906  6.825048129  6.973698754  26.2342
310 0.552547812  0.809798121  6.851286039  6.947460844  26.2379
311 0.554140091  0.804597855  6.877524511  6.921222373  26.2385
312 0.555732489  0.799426913  6.903767256  6.894979628  26.2427
313 0.557324827  0.794285774  6.930011112  6.868735771  26.2439
314 0.558917224  0.789173722  6.956257830  6.842489053  26.2467
315 0.560509622  0.784090638  6.982506215  6.816240669  26.2484
316 0.562101901  0.779036880  7.008754088  6.789992796  26.2479
317 0.563694298  0.774011254  7.035005169  6.763741715  26.2511
318 0.565286577  0.769014239  7.061255318  6.737491566  26.2501
319 0.566878974  0.764045000  7.087508256  6.711238627  26.2529
320 0.568471313  0.759103775  7.113760828  6.684986055  26.2526
321 0.570063710  0.754189849  7.140014793  6.658732091  26.2540
322 0.571656108  0.749303460  7.166268962  6.632477921  26.2542
323 0.573248386  0.744444489  7.192521166  6.606225717  26.2522
324 0.574840784  0.739612103  7.218775133  6.579971751  26.2540
325 0.576433122  0.734806657  7.245027712  6.553719171  26.2526
