# 601 snapshots
# linear spacing in scale-factor
# times assume cosmology from planck2015:
# Omega_m = 0.31, Omega_l = 0.69, Omega_b = 0.048,
# h = 0.68, sigma_8 = 0.82, n_s = 0.97
# i scale-factor redshift time[Gyr] lookback-time[Gyr] time-width[Myr]
187 0.357142895  1.799999714  3.615330181 10.120885841  23.3247
188 0.358730197  1.787610292  3.638692401 10.097523621  23.3622
189 0.360317498  1.775330067  3.662091890 10.074124132  23.3995
190 0.361904800  1.763157606  3.685528367 10.050687655  23.4365
191 0.363492101  1.751091480  3.709001553 10.027214469  23.4732
192 0.365079403  1.739130259  3.732511171 10.003704851  23.5096
193 0.366666704  1.727272511  3.756056942  9.980159081  23.5458
194 0.368254006  1.715517044  3.779638587  9.956577436  23.5816
195 0.369841307  1.703862429  3.803255829  9.932960193  23.6172
196 0.371428609  1.692307472  3.826908392  9.909307631  23.6526
197 0.373015910  1.680850744  3.850595998  9.885620025  23.6876
198 0.374603212  1.669491291  3.874318370  9.861897652  23.7224
199 0.376190513  1.658227682  3.898075233  9.838140789  23.7569
200 0.377777815  1.647058487  3.921866312  9.814349711  23.7911
201 0.379365087  1.635983229  3.945690882  9.790525141  23.8246
202 0.380952388  1.625000000  3.969549564  9.766666459  23.8587
203 0.382539690  1.614107847  3.993441636  9.742774387  23.8921
204 0.384126991  1.603305817  4.017366823  9.718849199  23.9252
205 0.385714293  1.592592478  4.041324853  9.694891169  23.9580
206 0.387301594  1.581967115  4.065315451  9.670900571  23.9906
207 0.388888896  1.571428537  4.089338345  9.646877678  24.0229
208 0.390476197  1.560975552  4.113393261  9.622822761  24.0549
209 0.392063498  1.550607204  4.137479928  9.598736094  24.0867
210 0.393650800  1.540322542  4.161598073  9.574617949  24.1181
211 0.395238101  1.530120373  4.185747425  9.550468597  24.1494
212 0.396825403  1.519999981  4.209927713  9.526288309  24.1803
213 0.398412704  1.509960175  4.234138666  9.502077356  24.2110
214 0.400000006  1.500000000  4.258380014  9.477836008  24.2413
215 0.401587307  1.490118504  4.282651487  9.453564536  24.2715
216 0.403174609  1.480314970  4.306952815  9.429263208  24.3013
217 0.404761910  1.470588207  4.331283729  9.404932294  24.3309
218 0.406349212  1.460937500  4.355643960  9.380572062  24.3602
219 0.407936513  1.451361895  4.380033241  9.356182781  24.3893
220 0.409523785  1.441860676  4.404450844  9.331765178  24.4176
221 0.411111087  1.432432652  4.428897420  9.307318603  24.4466
222 0.412698388  1.423077106  4.453372242  9.282843780  24.4748
223 0.414285690  1.413793325  4.477875045  9.258340978  24.5028
224 0.415872991  1.404580355  4.502405561  9.233810461  24.5305
225 0.417460293  1.395437479  4.526963527  9.209252496  24.5580
226 0.419047594  1.386363745  4.551548675  9.184667347  24.5851
227 0.420634896  1.377358675  4.576160742  9.160055280  24.6121
228 0.422222197  1.368421078  4.600799464  9.135416559  24.6387
229 0.423809499  1.359550714  4.625464575  9.110751447  24.6651
230 0.425396800  1.350746393  4.650155813  9.086060209  24.6912
